LNEC Test File eXtractor

File: pink_noise_40Hz_T3mm.drv

Created in: 2025-06-03 19:07:46.846854

Number of channels: 3

Name:	PosA1T	PosA3L	PosA2V
Type:			
Unit:	mm	mm	mm
No. of Samples:	32768	32768	32768
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	163.835	163.835	163.835
Data:
PosA1T	PosA3L	PosA2V
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.00031663939869675835	0.0	0.0
0.0004241413864017163	0.0	0.0
0.0004241413864017163	0.0	0.0
0.0004241413864017163	0.0	0.0
0.00031663939869675835	0.0	0.0
0.0004241413864017163	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0004241413864017163	0.0	0.0
0.0004241413864017163	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0004241413864017163	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0002091374109918004	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0005316433741066742	0.0	0.0
0.00031663939869675835	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0005316433741066742	0.0	0.0
0.0002091374109918004	0.0	0.0
0.0006391453618116321	0.0	0.0
0.00031663939869675835	0.0	0.0
0.0007466473495165901	0.0	0.0
0.0006391453618116321	0.0	0.0
0.000854149337221548	0.0	0.0
0.00010163542328684247	0.0	0.0
0.0007466473495165901	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0002091374109918004	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0006391453618116321	0.0	0.0
0.000854149337221548	0.0	0.0
0.000854149337221548	0.0	0.0
0.0010691533126314639	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0013916592757463378	0.0	0.0
0.0013916592757463378	0.0	0.0
0.0005316433741066742	0.0	0.0
0.002681683128205833	0.0	0.0
0.000961651324926506	0.0	0.0
0.0014991612634512957	0.0	0.0
0.0014991612634512957	0.0	0.0
0.0002091374109918004	0.0	0.0
0.00031663939869675835	0.0	0.0
-0.00011336855212307342	0.0	0.0
0.0006391453618116321	0.0	0.0
0.0013916592757463378	0.0	0.0
0.001176655300336422	0.0	0.0
0.0016066632511562537	0.0	0.0
0.001176655300336422	0.0	0.0
0.002896687103615749	0.0	0.0
0.0016066632511562537	0.0	0.0
0.002896687103615749	0.0	0.0
0.003004189091320707	0.0	0.0
0.0016066632511562537	0.0	0.0
