time    PosT    PosL    PosV    accT    accL    accV
0.000    0.000000000000000000    0.000000000000000000    0.000000000000000000    -477.905777928053453252    -233.222497525629165693    0.000000000000000000
0.005    -0.002583646546340954    -0.001260517752803189    0.000000000000000000    -477.905777928053453252    -233.222497525629165693    0.000000000000000000
0.010    -0.017114937540883245    -0.008351597943747107    0.000000000000000000    -817.579209366081045118    -399.124076389369633944    0.000000000000000000
0.015    -0.052085708769577563    -0.025420780044425266    0.000000000000000000    -740.517977339009348725    -361.619758123021370011    0.000000000000000000
0.020    -0.105569429431747117    -0.051530456098178960    0.000000000000000000    -287.485883697837209638    -140.519518599579726015    0.000000000000000000
0.025    -0.166240297186362601    -0.081153120116922148    0.000000000000000000    308.301744061572605915    150.337382636668564828    0.000000000000000000
0.030    -0.219203621339438770    -0.107017349569748621    0.000000000000000000    780.980453109610948559    381.157750507557523179    0.000000000000000000
0.035    -0.252642434164774665    -0.123352635259886156    0.000000000000000000    949.889152798699683444    463.700737865456687814    0.000000000000000000
0.040    -0.262334018170143068    -0.128095402503387273    0.000000000000000000    786.669901605216978169    384.088098238621853397    0.000000000000000000
0.045    -0.252358854635381047    -0.123235967290922857    0.000000000000000000    409.181285565860491715    199.840101967042585329    0.000000000000000000
0.050    -0.232154158961472484    -0.113380529529282362    0.000000000000000000    11.128362954984094557    5.503576641808782810    0.000000000000000000
0.055    -0.211671254213689319    -0.103387502351596647    0.000000000000000000    -234.873555087046213430    -114.619780363394141887    0.000000000000000000
0.060    -0.197060188343082310    -0.096259969682995786    0.000000000000000000    -253.430412817515758661    -123.706967733358538908    0.000000000000000000
0.065    -0.188784882792913195    -0.092225111207728888    0.000000000000000000    -88.472317399853608322    -43.198345821043865556    0.000000000000000000
0.070    -0.182721385177740420    -0.089270211377988087    0.000000000000000000    133.787302875285604387    65.320156127816602520    0.000000000000000000
0.075    -0.173313204990685504    -0.084682307645051871    0.000000000000000000    277.431504210091645746    135.483893515219705250    0.000000000000000000
0.080    -0.156969237198378297    -0.076707306574235162    0.000000000000000000    265.677108652176968917    129.778832153243911307    0.000000000000000000
0.085    -0.133983341689766666    -0.065487834699587355    0.000000000000000000    112.672300387135493338    55.097719983565603741    0.000000000000000000
0.090    -0.108180638671476634    -0.052890919825350401    0.000000000000000000    -93.894521533250951961    -45.760710328257012236    0.000000000000000000
