0	0.00302765	0.005016016	-0.002332536	-0.000905885	-0.009848156	-0.002960136	0.003531235	-0.00222013	-0.004804494	0.005748482
0.005	0.007363927	0.012484255	-0.00549881	-0.002371832	-0.024303413	-0.00722904	0.008332383	-0.00584065	-0.011814634	0.013681435
0.01	0.006744459	0.011356974	-0.004485602	-0.002105296	-0.021872883	-0.006295217	0.007234977	-0.005701399	-0.010412606	0.011517903
0.015	0.006992246	0.011779705	-0.004358951	-0.002238564	-0.022512497	-0.006295217	0.007097802	-0.006258402	-0.01066752	0.011157314
0.02	0.006992246	0.011638794	-0.003852347	-0.002238564	-0.022128729	-0.006028411	0.006823451	-0.006536903	-0.010285149	0.010195744
0.025	0.00711614	0.011638794	-0.003472395	-0.002371832	-0.022256651	-0.005895008	0.006549099	-0.006954656	-0.010285149	0.009474566
0.03	0.00711614	0.011638794	-0.002965791	-0.002238564	-0.022000806	-0.005761604	0.006411924	-0.007372408	-0.010157692	0.008753389
0.035	0.007240034	0.011779705	-0.002585838	-0.002238564	-0.021872883	-0.005628201	0.006137572	-0.00779016	-0.010157692	0.008152407
0.04	0.007240034	0.011638794	-0.002079234	-0.002238564	-0.021744961	-0.005494798	0.006000397	-0.008207913	-0.010030235	0.007551426
0.045	0.007363927	0.011779705	-0.001699282	-0.002238564	-0.021489115	-0.005494798	0.006000397	-0.008486414	-0.010157692	0.007190837
0.05	0.007363927	0.011779705	-0.001319329	-0.002238564	-0.021361193	-0.005361395	0.005863221	-0.008904166	-0.010157692	0.006710052
0.055	0.007487821	0.011779705	-0.000939376	-0.002238564	-0.021105348	-0.005361395	0.005863221	-0.009182668	-0.010285149	0.006469659
0.06	0.007611714	0.011779705	-0.000432772	-0.002105296	-0.020849502	-0.005361395	0.005726045	-0.009461169	-0.010412606	0.006830248
0.065	0.007735608	0.011779705	-5.28195E-05	-0.002105296	-0.020593657	-0.005361395	0.005726045	-0.009739671	-0.01066752	0.007311033
0.07	0.007859502	0.011779705	0.000453784	-0.001972028	-0.020337812	-0.005361395	0.005726045	-0.009878922	-0.010922435	0.007551426
0.075	0.007983395	0.011920615	0.000707086	-0.00183876	-0.020081966	-0.005361395	0.005726045	-0.010018172	-0.011177349	0.008032211
0.08	0.008107289	0.011920615	0.00121369	-0.001705493	-0.019826121	-0.005361395	0.005863221	-0.010157423	-0.01155972	0.008152407
0.085	0.008231183	0.011920615	0.001593643	-0.001572225	-0.019442353	-0.005361395	0.005863221	-0.010296674	-0.011942091	0.008032211
