time    PosT    PosL    PosV    accT    accL    accV
0.000    0.000000000000000000    0.000000000000000000    0.000000000000000000    0.929718970975261350    2.378018753578370337    0.000000000000000000
0.005    0.000006158937067644    0.000020057851858395    0.000000000000000000    0.929718970975261350    2.378018753578370337    0.000000000000000000
0.010    0.000035560848409669    0.000099566172556250    0.000000000000000000    1.230371927579910984    1.540928000280353594    0.000000000000000000
0.015    0.000095722057941192    0.000217597693261113    0.000000000000000000    1.135210212844941502    0.541198684713330325    0.000000000000000000
0.020    0.000184263522793839    0.000349159181083809    0.000000000000000000    0.763130229447677721    0.087856325364104884    0.000000000000000000
0.025    0.000291883243382677    0.000482917077040609    0.000000000000000000    0.301121864477022161    0.171885622936528398    0.000000000000000000
0.030    0.000407031010583442    0.000620972113570821    0.000000000000000000    -0.056457944925328296    0.544172156318946776    0.000000000000000000
0.035    0.000520767329161073    0.000772631454009007    0.000000000000000000    -0.199216473334331678    0.894854426554524740    0.000000000000000000
0.040    0.000629523235905345    0.000946662155111056    0.000000000000000000    -0.132329211880223035    0.999744751621913452    0.000000000000000000
0.045    0.000734970912352612    0.001145686475003653    0.000000000000000000    0.042202486317975338    0.806839766697730609    0.000000000000000000
0.050    0.000841473650957829    0.001364881789063694    0.000000000000000000    0.185139689755750736    0.429551366878137442    0.000000000000000000
0.055    0.000952604881806939    0.001594815887295687    0.000000000000000000    0.199008850661438502    0.062264540776658939    0.000000000000000000
0.060    0.001068711333922585    0.001826306599047097    0.000000000000000000    0.066395117330349765    -0.131672063126524186    0.000000000000000000
0.065    0.001186477663971490    0.002054505509220345    0.000000000000000000    -0.145399996162101641    -0.101398814998472295    0.000000000000000000
0.070    0.001300608994116342    0.002280169449018630    0.000000000000000000    -0.327322620213513882    0.077623157997454284    0.000000000000000000
0.075    0.001406557258755857    0.002507773967766851    0.000000000000000000    -0.390560457661451976    0.259369421806293632    0.000000000000000000
0.080    0.001502741511953835    0.002741862722060230    0.000000000000000000    -0.310275317251286487    0.315572718407632069    0.000000000000000000
0.085    0.001591168882220531    0.002983840794313800    0.000000000000000000    -0.139106268284569845    0.203887713726945419    0.000000000000000000
0.090    0.001676118595780113    0.003230916059410544    0.000000000000000000    0.028115622108726077    -0.016143033961055903    0.000000000000000000
0.095    0.001761771199892413    0.003477587748658261    0.000000000000000000    0.104864857346977786    -0.225895564577756336    0.000000000000000000
0.100    0.001850045425438387    0.003718612048791534    0.000000000000000000    0.056601468852966741    -0.315443171787829046    0.000000000000000000
0.105    0.001939734687705686    0.003951750269630111    0.000000000000000000    -0.085338051911375279    -0.249851339988726995    0.000000000000000000
0.110    0.002027290498675200    0.004178642206968970    0.000000000000000000    -0.247027266275772622    -0.084935174237896205    0.000000000000000000
0.115    0.002108670627987820    0.004403410764951882    0.000000000000000000    -0.348960660545034163    0.069227954586394136    0.000000000000000000
0.120    0.002181326740786814    0.004629910021799454    0.000000000000000000    -0.348548461543349286    0.109513311754710907    0.000000000000000000
