LNEC Test File eXtractor

File: LAquilaReducedScale_34.acq

Created in: 2025-06-03 17:29:12.424386

Number of channels: 6

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV
Type:	displacement	displacement	displacement	acceleration	acceleration	acceleration
Unit:	m	m	m	m/s^2	m/s^2	m/s^2
No. of Samples:	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV
0.0008001356866424376	-1.421085471520044e-14	1.393020987483088	-0.006509854293823219	-0.013303303138732913	0.00525927411651611
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.00645433848571775	-0.013303303138732913	0.005289882553100582
0.0008001356866424376	-1.421085471520044e-14	1.4000932331389717	-0.007176043991088845	-0.01324242414093018	0.005136840370178219
0.008274501468502789	-1.421085471520044e-14	1.4000932331389717	-0.007453623031616188	-0.013272863639831546	0.005045942588806148
0.0008001356866424376	-1.421085471520044e-14	1.4000932331389717	-0.006482096389770485	-0.013151105644226078	0.00525927411651611
0.01574886725036314	0.01599999999998403	1.4071685011220592	-0.006204517349243141	-0.013181545143127445	0.00525927411651611
0.008274501468502789	0.01599999999998403	1.4071685011220592	-0.0068984649505615	-0.013516840835571293	0.005441997207641598
0.008274501468502789	0.01599999999998403	1.4071685011220592	-0.008119812728881813	-0.013303303138732913	0.005441997207641598
0.008274501468502789	-1.421085471520044e-14	1.414240746777943	-0.008244723297119118	-0.01324242414093018	0.005624720298767086
0.0008001356866424376	-1.421085471520044e-14	1.4071685011220592	-0.008397391769409157	-0.013211984642028812	0.005380780334472653
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.007661807312011696	-0.013211984642028812	0.005136840370178219
-0.0029370472042877377	-1.421085471520044e-14	1.4071685011220592	-0.005954696212768532	-0.012907128448486332	0.005045942588806148
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.004372495681762672	-0.013303303138732913	0.005198057243347164
-0.0029370472042877377	-1.421085471520044e-14	1.4000932331389717	-0.0046500747222900166	-0.013669499534606937	0.005136840370178219
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.006329427917480446	-0.013486401336669925	0.005075623497009274
0.0008001356866424376	-1.421085471520044e-14	1.4071685011220592	-0.007703444168090798	-0.013364643341064457	0.005198057243347164
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.007120528182983376	-0.013272863639831546	0.0056553287353515586
-0.0029370472042877377	-1.421085471520044e-14	1.414240746777943	-0.0066625227661132585	-0.013151105644226078	0.005441997207641598
0.008274501468502789	-1.421085471520044e-14	1.4000932331389717	-0.006745796478271462	-0.013272863639831546	0.005075623497009274
-0.0029370472042877377	-1.421085471520044e-14	1.4071685011220592	-0.007176043991088845	-0.013425522338867192	0.005289882553100582
0.0008001356866424376	-1.421085471520044e-14	1.4071685011220592	-0.00724543875122068	-0.013669499534606937	0.005594111862182613
0.0008001356866424376	-1.421085471520044e-14	1.414240746777943	-0.007967144256591775	-0.013516840835571293	0.00547260564422607
0.008274501468502789	-1.421085471520044e-14	1.414240746777943	-0.00857781814575193	-0.013425522338867192	0.004954117279052731
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.008064296920776344	-0.013425522338867192	0.00483168353271484
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.0066625227661132585	-0.013486401336669925	0.005106231933593746
0.01574886725036314	-1.421085471520044e-14	1.4000932331389717	-0.00626003315734861	-0.013516840835571293	0.005319563461303707
-0.0029370472042877377	-1.421085471520044e-14	1.4071685011220592	-0.0069678597106933365	-0.013455961837768558	0.005319563461303707
0.0008001356866424376	-1.421085471520044e-14	1.4071685011220592	-0.007481380935668923	-0.013516840835571293	0.005319563461303707
-0.0029370472042877377	-1.421085471520044e-14	1.414240746777943	-0.006745796478271462	-0.013699939033508305	0.0052286656799316366
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.0063571858215331805	-0.013395082839965823	0.0049235088424682575
0.0008001356866424376	-1.421085471520044e-14	1.414240746777943	-0.006329427917480446	-0.01333420384216309	0.004771394187927242
0.008274501468502789	-1.421085471520044e-14	1.4071685011220592	-0.006329427917480446	-0.013181545143127445	0.005167448806762691
-0.0029370472042877377	-1.421085471520044e-14	1.4071685011220592	-0.006107364685058571	-0.012998446945190433	0.005624720298767086
-0.0029370472042877377	-1.421085471520044e-14	1.4071685011220592	-0.0072731966552734145	-0.01312066614532471	0.005564430953979489
-0.0029370472042877377	0.01599999999998403	1.4000932331389717	-0.009132976226806618	-0.013181545143127445	0.005136840370178219
0.0008001356866424376	0.01599999999998403	1.4071685011220592	-0.009743650115966774	-0.013181545143127445	0.0049235088424682575
0.0008001356866424376	0.01599999999998403	1.4071685011220592	-0.008119812728881813	-0.01333420384216309	0.0053501718978881795
-0.0029370472042877377	-1.421085471520044e-14	1.4213160147610304	-0.00645433848571775	-0.013364643341064457	0.005624720298767086
0.0008001356866424376	-1.421085471520044e-14	1.4071685011220592	-0.005316264419555641	-0.01354728033447266	0.005411388771057125
-0.0029370472042877377	-1.421085471520044e-14	1.414240746777943	-0.004886016906738258	-0.013516840835571293	0.005380780334472653
