LNEC Test File eXtractor

File: erzikan_0.DRV

Created in: 2025-07-02 15:13:47.833973

Number of channels: 3

Name:	DispT	DispL	DispV
Type:	Displacement	Displacement	Displacement
Unit:	m	m	m
No. of Samples:	4260	4260	4260
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	21.295	21.295	21.295
Data:
DispT	DispL	DispV
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
-5.8679620434123e-07	-2.908912533556802e-07	0.0
9.75800330816868e-07	-2.908912533556802e-07	0.0
9.75800330816868e-07	-2.908912533556802e-07	0.0
9.75800330816868e-07	-2.908912533556802e-07	0.0
9.75800330816868e-07	-2.908912533556802e-07	0.0
9.75800330816868e-07	9.10433315234103e-07	0.0
9.75800330816868e-07	9.10433315234103e-07	0.0
9.75800330816868e-07	9.10433315234103e-07	0.0
2.5383968659749663e-06	9.10433315234103e-07	0.0
2.5383968659749663e-06	9.10433315234103e-07	0.0
2.5383968659749663e-06	9.10433315234103e-07	0.0
2.5383968659749663e-06	9.10433315234103e-07	0.0
2.5383968659749663e-06	9.10433315234103e-07	0.0
4.100993401133064e-06	2.111757883823886e-06	0.0
4.100993401133064e-06	2.111757883823886e-06	0.0
4.100993401133064e-06	2.111757883823886e-06	0.0
4.100993401133064e-06	2.111757883823886e-06	0.0
5.663589936291162e-06	2.111757883823886e-06	0.0
5.663589936291162e-06	2.111757883823886e-06	0.0
5.663589936291162e-06	3.3130824524136697e-06	0.0
