Frequency [Hz] - Plot 0	Magnitude - Plot 0	Frequency [Hz] - Plot 1	Magnitude - Plot 1	
18.012821	0.0594048			
18.076923	0.0589816			
18.141026	0.0585281			
18.205128	0.0580802			
18.269231	0.0576149			
18.333333	0.0572219			
18.397436	0.056773			
18.461538	0.0564262			
18.525641	0.0558544			
18.589744	0.0555791			
18.653846	0.0551746			
18.717949	0.0547486			
18.782051	0.0542742			
18.846154	0.0539705			
18.910256	0.0535717			
18.974359	0.0530623			
19.038462	0.052839			
19.102564	0.0525154			
19.166667	0.0520009			
19.230769	0.0516046			
19.294872	0.0512452			
19.358974	0.0509062			
19.423077	0.0505735			
19.487179	0.0501339			
19.551282	0.0498854			
19.615385	0.0495179			
19.679487	0.049128			
19.74359	0.0487739			
19.807692	0.0484763			
19.871795	0.0480979			
19.935897	0.0477622			
20	0.0474402			
20.064103	0.047142			
20.128205	0.0468424			
20.192308	0.0464302			
20.25641	0.0460684			
20.320513	0.0458326			
20.384615	0.0456022			
20.448718	0.0452018			
20.512821	0.0449387			
20.576923	0.0445813			
20.641026	0.0442452			
20.705128	0.0440348			
20.769231	0.0436737			
20.833333	0.043444			
20.897436	0.043145			
20.961538	0.0428281			
21.025641	0.0425903			
21.089744	0.0422564			
21.153846	0.0419706			
21.217949	0.0417323			
21.282051	0.0414508			
21.346154	0.041159			
21.410256	0.0409152			
21.474359	0.0406743			
21.538462	0.0403518			
21.602564	0.0400739			
21.666667	0.0398855			
21.730769	0.0395702			
21.794872	0.0393724			
21.858974	0.0390463			
21.923077	0.0388309			
21.987179	0.038612			
22.051282	0.0383343			
22.115385	0.0380885			
22.179487	0.0378426			
22.24359	0.0376024			
22.307692	0.0374032			
22.371795	0.0371556			
22.435897	0.0368982			
22.5	0.0366536			
22.564103	0.0364269			
22.628205	0.036234			
22.692308	0.0359618			
22.75641	0.035754			
22.820513	0.0355629			
22.884615	0.0353314			
22.948718	0.0351212			
23.012821	0.0348682			
23.076923	0.034686			
23.141026	0.0344117			
23.205128	0.034252			
23.269231	0.0340615			
23.333333	0.0338143			
23.397436	0.0336264			
23.461538	0.0334629			
23.525641	0.0331994			
23.589744	0.0330188			
23.653846	0.0328061			
23.717949	0.0326314			
23.782051	0.032406			
23.846154	0.0322194			
23.910256	0.0320602			
23.974359	0.0318474			
24.038462	0.0316652			
24.102564	0.0314277			
24.166667	0.031269			
24.230769	0.0310956			
24.294872	0.0309143			
24.358974	0.0307481			
24.423077	0.0305477			
24.487179	0.030362			
24.551282	0.0301694			
24.615385	0.0299998			
24.679487	0.0298595			
24.74359	0.0296779			
24.807692	0.0294866			
24.871795	0.0293308			
24.935897	0.0291619			
25	0.0290044			
25.064103	0.0288274			
25.128205	0.0286578			
25.192308	0.0284934			
25.25641	0.0283298			
25.320513	0.0281645			
25.384615	0.0280184			
25.448718	0.0278156			
25.512821	0.0277174			
25.576923	0.0275358			
25.641026	0.0273675			
25.705128	0.0272235			
25.769231	0.0270605			
25.833333	0.0268973			
25.897436	0.0267898			
25.961538	0.0265665			
26.025641	0.0264648			
26.089744	0.0263136			
26.153846	0.0262016			
26.217949	0.0260213			
26.282051	0.0258878			
26.346154	0.0257475			
26.410256	0.0255568			
26.474359	0.0254407			
26.538462	0.025329			
26.602564	0.0251944			
26.666667	0.0250021			
26.730769	0.024899			
26.794872	0.0247874			
26.858974	0.0246097			
26.923077	0.0245053			
26.987179	0.0243584			
27.051282	0.0242207			
27.115385	0.0240968			
27.179487	0.0239606			
27.24359	0.0238308			
27.307692	0.0236996			
27.371795	0.0235654			
27.435897	0.0234461			
27.5	0.0233288			
27.564103	0.0232077			
27.628205	0.023049			
27.692308	0.0229764			
27.75641	0.0228361			
27.820513	0.0227102			
27.884615	0.0225707			
27.948718	0.0224699			
28.012821	0.0223519			
28.076923	0.0222289			
28.141026	0.0221172			
28.205128	0.0219982			
28.269231	0.0218606			
28.333333	0.0217709			
28.397436	0.0216568			
28.461538	0.021554			
28.525641	0.0214211			
28.589744	0.0213001			
28.653846	0.0211958			
28.717949	0.0210945			
28.782051	0.0209725			
28.846154	0.0208773			
28.910256	0.0207827			
28.974359	0.0206428			
29.038462	0.0205563			
29.102564	0.0204386			
29.166667	0.0203558			
29.230769	0.0202588			
29.294872	0.0201191			
29.358974	0.0200307			
29.423077	0.0199289			
29.487179	0.0198209			
29.551282	0.0197238			
