LNEC Test File eXtractor

File: kobe_1.DRV

Created in: 2025-07-15 12:28:17.181554

Number of channels: 3

Name:	DispT	DispL	DispV
Type:	Displacement	Displacement	Displacement
Unit:	m	m	m
No. of Samples:	6000	6000	6000
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	29.995	29.995	29.995
Data:
DispT	DispL	DispV
0.00035502223445597257	0.0001233837836243539	0.0
0.0006661964586808083	0.00016710653781463908	0.0
0.0007085456134569693	0.00016548717654833224	0.0
0.0005004823747740911	0.00012500314489066074	0.0
0.0001580066013668755	6.670613930361387e-05	0.0
-0.0001642152284517413	1.650594004810127e-05	0.0
-0.00033913565035327607	-7.784478946501605e-06	0.0
-0.0003262467771605315	3.1232738503268677e-07	0.0
-0.00016789776364966834	3.108019144486299e-05	0.0
2.7276601840465255e-05	6.508677803730702e-05	0.0
0.00015616533376791198	8.613847449929617e-05	0.0
0.00016168913656480256	8.451911323298932e-05	0.0
5.857815102284517e-05	6.832550056992074e-05	0.0
-8.504072169630973e-05	4.403508157531785e-05	0.0
-0.00018999297483723063	2.6222107645942416e-05	0.0
-0.00020472311562893882	2.460274637963556e-05	0.0
-0.00013291367926936137	3.755763651009043e-05	0.0
-2.2437623331549905e-05	5.698997170577272e-05	0.0
6.041941862180869e-05	7.31835843688413e-05	0.0
7.330829181455337e-05	7.642230690145502e-05	0.0
1.4387728647720583e-05	6.670613930361387e-05	0.0
-7.583438370149212e-05	5.051252664054529e-05	0.0
-0.00015132635525899664	3.755763651009043e-05	0.0
-0.00016605649605070484	3.431891397747671e-05	0.0
-0.00012186607367558022	3.9176997776397284e-05	0.0
-4.637410211807572e-05	5.051252664054529e-05	0.0
1.6228996246684108e-05	6.18480555046933e-05	0.0
2.911786943942878e-05	6.508677803730702e-05	0.0
-1.139001773776876e-05	5.8609332972079577e-05	0.0
-7.951691889941918e-05	4.889316537423843e-05	0.0
-0.0001347549468683249	3.9176997776397284e-05	0.0
-0.00014764382006106957	3.593827524378357e-05	0.0
-0.00011265973568076261	3.755763651009043e-05	0.0
-5.18979049149663e-05	4.2415720309011005e-05	0.0
-3.4241214398761363e-07	4.727380410793157e-05	0.0
1.2546461048757057e-05	4.727380410793157e-05	0.0
-1.5072552935695808e-05	4.403508157531785e-05	0.0
-6.846931330563802e-05	3.431891397747671e-05	0.0
-0.00011265973568076261	2.9460830178556134e-05	0.0
-0.00012370734127454375	2.7841468912249273e-05	0.0
-9.792959488905442e-05	2.9460830178556134e-05	0.0
-4.821536971703925e-05	3.431891397747671e-05	0.0
-5.866214940878187e-06	3.593827524378357e-05	0.0
5.1813906529029604e-06	3.2699552711169855e-05	0.0
-1.6913820534659335e-05	2.6222107645942416e-05	0.0
-6.110424290978392e-05	1.8125301314408124e-05	0.0
-9.977086248801794e-05	1.1647856249180693e-05	0.0
-0.00010897720048283556	8.409133716566977e-06	0.0
-8.319945409734622e-05	1.1647856249180693e-05	0.0
-4.085029932118516e-05	1.488657878179441e-05	0.0
1.4988554549759109e-06	1.8125301314408124e-05	0.0
1.6228996246684108e-05	1.488657878179441e-05	0.0
1.4988554549759109e-06	8.409133716566977e-06	0.0
-3.532649652429458e-05	3.1232738503268677e-07	0.0
-6.846931330563802e-05	-7.784478946501605e-06	0.0
-7.951691889941918e-05	-9.403840212808462e-06	0.0
-6.294551050874745e-05	-7.784478946501605e-06	0.0
-2.6120158529476958e-05	-4.545756413887887e-06	0.0
7.022658251866485e-06	-1.3070338812741714e-06	0.0
2.175279904357468e-05	-4.545756413887887e-06	0.0
1.0705193449793533e-05	-1.102320147911532e-05	0.0
