time    PosT    PosL    PosV    accT    accL    accV
0.000    0.000000000000000000    0.000000000000000000    0.000000000000000000    -0.128637275533944162    0.245953407895369541    0.000000000000000000
0.005    -0.000001073147943464    0.000001400955812824    0.000000000000000000    -0.128637275533944162    0.245953407895369541    0.000000000000000000
0.010    -0.000005362227775277    0.000008950746823031    0.000000000000000000    -0.084060306418810959    0.394998498483231653    0.000000000000000000
0.015    -0.000011752815267560    0.000026375500295320    0.000000000000000000    -0.016206998708355760    0.346646658870039925    0.000000000000000000
0.020    -0.000018548577727552    0.000052466420239360    0.000000000000000000    0.035668444932248605    0.129227128474220909    0.000000000000000000
0.025    -0.000024452629064238    0.000081788018395255    0.000000000000000000    0.061696310412074351    -0.146345883355590317    0.000000000000000000
0.030    -0.000028814272640622    0.000107450969467260    0.000000000000000000    0.062527981600057056    -0.358560681384525237    0.000000000000000000
0.035    -0.000031612716677005    0.000124149903504653    0.000000000000000000    0.046987936336063713    -0.427714278193032982    0.000000000000000000
0.040    -0.000033236462304986    0.000130155980587219    0.000000000000000000    0.025020614395368998    -0.346871369633186544    0.000000000000000000
0.045    -0.000034234692573082    0.000127490273428956    0.000000000000000000    0.009342127846351959    -0.175676907015615003    0.000000000000000000
0.050    -0.000034999369645020    0.000120432643595302    0.000000000000000000    0.003803490473054834    -0.004009105122783222    0.000000000000000000
0.055    -0.000035668959455132    0.000113274786133579    0.000000000000000000    0.007980705180183061    0.091526623703322582    0.000000000000000000
0.060    -0.000036139031635739    0.000108405094264439    0.000000000000000000    0.016672394589795372    0.084621206685529360    0.000000000000000000
0.065    -0.000036192293951601    0.000105650932562437    0.000000000000000000    0.024188709972270770    0.003816475350635284    0.000000000000000000
0.070    -0.000035640838518156    0.000102992182744201    0.000000000000000000    0.025619853766993082    -0.091843946836991056    0.000000000000000000
0.075    -0.000034448886740537    0.000098037334255040    0.000000000000000000    0.020505200200403435    -0.143827455210650323    0.000000000000000000
0.080    -0.000032744304957907    0.000089486799385613    0.000000000000000000    0.013108857941107220    -0.123362347098841751    0.000000000000000000
0.085    -0.000030712001726750    0.000077852205838715    0.000000000000000000    0.007422479106265170    -0.043846929796406475    0.000000000000000000
0.090    -0.000028494136517936    0.000065121439046907    0.000000000000000000    0.006023328541726559    0.049677413240628812    0.000000000000000000
0.095    -0.000026125688095579    0.000053632607586114    0.000000000000000000    0.007506857377466338    0.108489757414967566    0.000000000000000000
0.100    -0.000023569568238785    0.000044856020060696    0.000000000000000000    0.009553787346994521    0.107224519769779897    0.000000000000000000
0.105    -0.000020774603698316    0.000038760045529522    0.000000000000000000    0.010012391481022266    0.054619680929749052    0.000000000000000000
0.110    -0.000017729329370822    0.000034029563021592    0.000000000000000000    0.007281755311311854    -0.013748262553509536    0.000000000000000000
0.115    -0.000014502011160545    0.000028955373949824    0.000000000000000000    0.000538042732663207    -0.056554793311215330    0.000000000000000000
0.120    -0.000011261241881952    0.000022467315045276    0.000000000000000000    -0.005074075414998627    -0.051713258968291848    0.000000000000000000
0.125    -0.000008147324488733    0.000014686424666521    0.000000000000000000    -0.008750856937192927    -0.005754561073407122    0.000000000000000000
0.130    -0.000005252178518944    0.000006761670260930    0.000000000000000000    -0.008309516339935345    0.053698991214908315    0.000000000000000000
0.135    -0.000002564770457654    0.000000179390635712    0.000000000000000000    -0.003417904481980209    0.092918576012350457    0.000000000000000000
0.140    0.000000037189991587    -0.000004079924589197    0.000000000000000000    0.001996535276091612    0.090469230800621525    0.000000000000000000
0.145    0.000002689063822730    -0.000006077509044091    0.000000000000000000    0.005027591687533462    0.049689046863756962    0.000000000000000000
0.150    0.000005466627446062    -0.000006832867327391    0.000000000000000000    0.004339975657186633    -0.003370777493754433    0.000000000000000000
0.155    0.000008352690460823    -0.000007672495048034    0.000000000000000000    0.000212994314966962    -0.040134701343873772    0.000000000000000000
0.160    0.000011244078333458    -0.000009515490302275    0.000000000000000000    -0.004693246538611185    -0.041575945624560122    0.000000000000000000
0.165    0.000014018135042628    -0.000012397884197129    0.000000000000000000    -0.008143836992554087    -0.010670120714680945    0.000000000000000000
0.170    0.000016588595826984    -0.000015547031109851    0.000000000000000000    -0.007929918823672581    0.033129453938759615    0.000000000000000000
0.175    0.000018960808640749    -0.000017867941674103    0.000000000000000000    -0.004511095417400853    0.063080866114818696    0.000000000000000000
0.180    0.000021220244069078    -0.000018611830585485    0.000000000000000000    -0.000643679625821075    0.062654402915826884    0.000000000000000000
