LNEC Test File eXtractor

File: newhall.tgt

Created in: 2025-07-09 15:09:58.078394

Number of channels: 6

Name:	DispT	DispL	DispV	AccT	AccL	AccV
Type:	Displacement	Displacement	Displacement	Acceleration	Acceleration	Acceleration
Unit:	m	m	m	m/s^2	m/s^2	m/s^2
No. of Samples:	6000	6000	6000	6000	6000	6000
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	29.995	29.995	29.995	29.995	29.995	29.995
Data:
DispT	DispL	DispV	AccT	AccL	AccV
5.284821725353142e-06	3.253327641701273e-06	0.0	-3.2348632812691404e-05	-6.469726562506855e-05	0.0
5.284821725353142e-06	3.253327641701273e-06	0.0	-3.2348632812691404e-05	-6.469726562506855e-05	0.0
5.284821725353142e-06	3.253327641701273e-06	0.0	-3.2348632812691404e-05	0.004612121582031181	0.0
5.284821725353142e-06	3.253327641701273e-06	0.0	-3.2348632812691404e-05	-0.0008129882812500685	0.0
5.284821725353142e-06	3.253327641701273e-06	0.0	-3.2348632812691404e-05	-0.006238098144531318	0.0
5.284821725353142e-06	3.253327641701273e-06	0.0	0.002800292968749809	-0.010540771484375069	0.0
5.284821725353142e-06	-3.6258711082225813e-06	0.0	0.010208740234374809	-0.013346862792968818	0.0
5.284821725353142e-06	-3.6258711082225813e-06	0.0	0.01718139648437481	-0.01428222656250007	0.0
5.284821725353142e-06	-3.6258711082225813e-06	0.0	0.02110351562499981	-0.013721008300781318	0.0
5.284821725353142e-06	-3.6258711082225813e-06	0.0	0.02350036621093731	-0.01203735351562507	0.0
5.284821725353142e-06	-3.6258711082225813e-06	0.0	0.02393615722656231	-0.009605407714843818	0.0
5.284821725353142e-06	-3.6258711082225813e-06	0.0	0.02306457519531231	-0.006425170898437568	0.0
5.284821725353142e-06	-1.0505069858146437e-05	0.0	0.020231933593749807	-0.0023095703125000687	0.0
2.0878013011745455e-05	-1.0505069858146437e-05	0.0	0.016091918945312308	0.002554321289062431	0.0
2.0878013011745455e-05	-1.0505069858146437e-05	0.0	0.010208740234374809	0.007605285644531181	0.0
2.0878013011745455e-05	-1.738426860807029e-05	0.0	0.003453979492187309	0.011907958984374932	0.0
2.0878013011745455e-05	-1.738426860807029e-05	0.0	-0.003300781250000191	0.013778686523437432	0.0
3.6471204298137764e-05	-1.738426860807029e-05	0.0	-0.008966064453125191	0.012282104492187432	0.0
3.6471204298137764e-05	-1.738426860807029e-05	0.0	-0.012234497070312692	0.006108703613281181	0.0
3.6471204298137764e-05	-1.738426860807029e-05	0.0	-0.012670288085937693	-0.003993225097656318	0.0
3.6471204298137764e-05	-1.738426860807029e-05	0.0	-0.010055541992187693	-0.016527099609375068	0.0
3.6471204298137764e-05	-2.4263467357994147e-05	0.0	-0.005261840820312692	-0.02887390136718757	0.0
5.206439558453007e-05	-2.4263467357994147e-05	0.0	0.0001855468749998086	-0.03729217529296882	0.0
5.206439558453007e-05	-2.4263467357994147e-05	0.0	0.004107666015624809	-0.03953704833984382	0.0
5.206439558453007e-05	-3.1142666107918004e-05	0.0	0.004979248046874809	-0.03373779296875007	0.0
5.206439558453007e-05	-3.802186485784186e-05	0.0	0.0017108154296873086	-0.020642700195312568	0.0
5.206439558453007e-05	-3.802186485784186e-05	0.0	-0.006351318359375192	-0.0023095703125000687	0.0
6.765758687092239e-05	-4.490106360776571e-05	0.0	-0.018335571289062692	0.01808135986328118	0.0
6.765758687092239e-05	-5.1780262357689565e-05	0.0	-0.03249877929687519	0.03622741699218743	0.0
6.765758687092239e-05	-5.1780262357689565e-05	0.0	-0.04709777832031269	0.04913543701171868	0.0
6.765758687092239e-05	-5.8659461107613425e-05	0.0	-0.059082031250000194	0.05474761962890618	0.0
