time    PosT    PosL    PosV    accT    accL    accV
0.460    0.00232    0.00000    0.00000    -1.14676    0.00000    0.00000
0.465    0.00231    0.00000    0.00000    -0.94569    0.00000    0.00000
0.470    0.00228    0.00000    0.00000    0.04528    0.00000    0.00000
0.475    0.00225    0.00000    0.00000    1.04633    0.00000    0.00000
0.480    0.00225    0.00000    0.00000    1.62448    0.00000    0.00000
0.485    0.00228    0.00000    0.00000    1.34742    0.00000    0.00000
0.490    0.00235    0.00000    0.00000    0.84179    0.00000    0.00000
0.495    0.00245    0.00000    0.00000    0.15002    0.00000    0.00000
0.500    0.00254    0.00000    0.00000    0.10486    0.00000    0.00000
0.505    0.00264    0.00000    0.00000    0.36706    0.00000    0.00000
0.510    0.00275    0.00000    0.00000    0.18642    0.00000    0.00000
0.515    0.00286    0.00000    0.00000    -0.75183    0.00000    0.00000
0.520    0.00296    0.00000    0.00000    -0.90331    0.00000    0.00000
0.525    0.00303    0.00000    0.00000    -0.48156    0.00000    0.00000
0.530    0.00308    0.00000    0.00000    -0.56650    0.00000    0.00000
0.535    0.00313    0.00000    0.00000    -1.10238    0.00000    0.00000
0.540    0.00315    0.00000    0.00000    -1.11648    0.00000    0.00000
0.545    0.00314    0.00000    0.00000    -0.22169    0.00000    0.00000
0.550    0.00312    0.00000    0.00000    0.73235    0.00000    0.00000
0.555    0.00312    0.00000    0.00000    0.74248    0.00000    0.00000
0.560    0.00314    0.00000    0.00000    -0.25062    0.00000    0.00000
0.565    0.00316    0.00000    0.00000    -1.12605    0.00000    0.00000
0.570    0.00314    0.00000    0.00000    -1.28843    0.00000    0.00000
0.575    0.00310    0.00000    0.00000    -0.47047    0.00000    0.00000
0.580    0.00304    0.00000    0.00000    0.84893    0.00000    0.00000
0.585    0.00300    0.00000    0.00000    1.29802    0.00000    0.00000
0.590    0.00300    0.00000    0.00000    1.37004    0.00000    0.00000
0.595    0.00303    0.00000    0.00000    1.74537    0.00000    0.00000
0.600    0.00310    0.00000    0.00000    1.45689    0.00000    0.00000
0.605    0.00321    0.00000    0.00000    0.57956    0.00000    0.00000
0.610    0.00334    0.00000    0.00000    0.87644    0.00000    0.00000
0.615    0.00348    0.00000    0.00000    1.24640    0.00000    0.00000
0.620    0.00366    0.00000    0.00000    0.19783    0.00000    0.00000
0.625    0.00384    0.00000    0.00000    -0.45553    0.00000    0.00000
0.630    0.00402    0.00000    0.00000    0.98581    0.00000    0.00000
0.635    0.00421    0.00000    0.00000    0.48140    0.00000    0.00000
0.640    0.00442    0.00000    0.00000    -1.11078    0.00000    0.00000
0.645    0.00460    0.00000    0.00000    0.12848    0.00000    0.00000
0.650    0.00478    0.00000    0.00000    1.56880    0.00000    0.00000
0.655    0.00501    0.00000    0.00000    1.12881    0.00000    0.00000
0.660    0.00526    0.00000    0.00000    0.15836    0.00000    0.00000
0.665    0.00551    0.00000    0.00000    -1.81595    0.00000    0.00000
0.670    0.00572    0.00000    0.00000    -2.96178    0.00000    0.00000
0.675    0.00586    0.00000    0.00000    -2.63953    0.00000    0.00000
0.680    0.00593    0.00000    0.00000    -3.26761    0.00000    0.00000
0.685    0.00591    0.00000    0.00000    -3.53995    0.00000    0.00000
0.690    0.00581    0.00000    0.00000    -4.25638    0.00000    0.00000
0.695    0.00561    0.00000    0.00000    -3.03715    0.00000    0.00000
0.700    0.00532    0.00000    0.00000    -1.46045    0.00000    0.00000
0.705    0.00500    0.00000    0.00000    -1.30852    0.00000    0.00000
0.710    0.00465    0.00000    0.00000    -1.31337    0.00000    0.00000
0.715    0.00427    0.00000    0.00000    0.99930    0.00000    0.00000
0.720    0.00391    0.00000    0.00000    3.79288    0.00000    0.00000
0.725    0.00364    0.00000    0.00000    3.14237    0.00000    0.00000
0.730    0.00345    0.00000    0.00000    2.84349    0.00000    0.00000
0.735    0.00334    0.00000    0.00000    2.42446    0.00000    0.00000
0.740    0.00328    0.00000    0.00000    1.23793    0.00000    0.00000
0.745    0.00326    0.00000    0.00000    1.45110    0.00000    0.00000
0.750    0.00327    0.00000    0.00000    0.19902    0.00000    0.00000
0.755    0.00329    0.00000    0.00000    -1.86111    0.00000    0.00000
0.760    0.00326    0.00000    0.00000    -1.65496    0.00000    0.00000
0.765    0.00319    0.00000    0.00000    0.21415    0.00000    0.00000
0.770    0.00312    0.00000    0.00000    1.40115    0.00000    0.00000
0.775    0.00309    0.00000    0.00000    0.45036    0.00000    0.00000
0.780    0.00307    0.00000    0.00000    -0.18061    0.00000    0.00000
0.785    0.00305    0.00000    0.00000    -0.64202    0.00000    0.00000
0.790    0.00301    0.00000    0.00000    -0.98011    0.00000    0.00000
