time    PosT    PosL    PosV    accT    accL    accV
0.000    0.000000000000000000    0.000000000000000000    0.000000000000000000    -0.003540444152506516    0.000000000000000000    0.000000000000000000
0.005    -0.000000028820031464    0.000000000000000000    0.000000000000000000    -0.003540444152506516    0.000000000000000000    0.000000000000000000
0.010    -0.000000146151166741    0.000000000000000000    0.000000000000000000    -0.002788061374243193    0.000000000000000000    0.000000000000000000
0.015    -0.000000333183836374    0.000000000000000000    0.000000000000000000    -0.001943220862058276    0.000000000000000000    0.000000000000000000
0.020    -0.000000568797027558    0.000000000000000000    0.000000000000000000    -0.001726982323123571    0.000000000000000000    0.000000000000000000
0.025    -0.000000847584776821    0.000000000000000000    0.000000000000000000    -0.001730989997167609    0.000000000000000000    0.000000000000000000
0.030    -0.000001169647276013    0.000000000000000000    0.000000000000000000    -0.001865559379608909    0.000000000000000000    0.000000000000000000
0.035    -0.000001538348759695    0.000000000000000000    0.000000000000000000    -0.001525030204780808    0.000000000000000000    0.000000000000000000
0.040    -0.000001945175998496    0.000000000000000000    0.000000000000000000    -0.000648079243663809    0.000000000000000000    0.000000000000000000
0.045    -0.000002368205218389    0.000000000000000000    0.000000000000000000    0.000303775803578470    0.000000000000000000    0.000000000000000000
0.050    -0.000002783640043193    0.000000000000000000    0.000000000000000000    0.001456236215562414    0.000000000000000000    0.000000000000000000
0.055    -0.000003162668962607    0.000000000000000000    0.000000000000000000    0.002479134902382401    0.000000000000000000    0.000000000000000000
0.060    -0.000003479719509462    0.000000000000000000    0.000000000000000000    0.002919191837653124    0.000000000000000000    0.000000000000000000
0.065    -0.000003723790260376    0.000000000000000000    0.000000000000000000    0.003170632868115489    0.000000000000000000    0.000000000000000000
0.070    -0.000003888595189586    0.000000000000000000    0.000000000000000000    0.002843211461087203    0.000000000000000000    0.000000000000000000
0.075    -0.000003982319832270    0.000000000000000000    0.000000000000000000    0.002416094936339889    0.000000000000000000    0.000000000000000000
0.080    -0.000004015642101545    0.000000000000000000    0.000000000000000000    0.002010031344491451    0.000000000000000000    0.000000000000000000
0.085    -0.000003998713587208    0.000000000000000000    0.000000000000000000    0.001637611603157236    0.000000000000000000    0.000000000000000000
0.090    -0.000003940844782792    0.000000000000000000    0.000000000000000000    0.001406586042526932    0.000000000000000000    0.000000000000000000
0.095    -0.000003847811327312    0.000000000000000000    0.000000000000000000    0.001344071361953889    0.000000000000000000    0.000000000000000000
0.100    -0.000003721176087784    0.000000000000000000    0.000000000000000000    0.001062167804599993    0.000000000000000000    0.000000000000000000
0.105    -0.000003567986653141    0.000000000000000000    0.000000000000000000    0.000867181721069403    0.000000000000000000    0.000000000000000000
